setting_id,algorithm,gsl_capacity_mbps,gsl_bottleneck_flag,gsl_saturation_samples,gsl_associated_loss,mixed_associated_loss,mixed_loss_dominates,safe_for_isl_focused_experiment,gsl_safety_reason,gsl_utilization_source,associated_loss_caveat
"load=2.0,bg=32",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.2,bg=32",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.4,bg=32",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=1.6,bg=40",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=1.8,bg=40",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.0,bg=40",algorithm_free_one_only_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.0,bg=40",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.2,bg=40",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.4,bg=40",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.2,bg=48",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.4,bg=48",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.6,bg=48",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.8,bg=48",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=3.0,bg=48",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.6,bg=56",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=2.8,bg=56",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
"load=3.0,bg=56",algorithm_queue_aware_over_isls,100.000000000,false,0,0,0,false,true,GSL capacity 100.0 Mbps; GSL capacity samples 0; GSL-associated loss 0; mixed-associated loss 0,queue_occupancy_proxy,"time/path correlation, not physical-drop proof"
